position,hand_rank_tuple,wins,total_matchups,netev
front,"(2, 6, 8)",1,1,-0.638850
front,"(2, 6, 7)",1,1,-0.641996
front,"(2, 6, 5)",1,1,-0.645142
front,"(2, 6, 4)",1,1,-0.648288
front,"(2, 6, 3)",1,1,-0.651434
front,"(2, 6, 2)",1,1,-0.654580
front,"(2, 5, 14)",1,1,-0.657464
front,"(2, 5, 13)",1,1,-0.660609
front,"(2, 5, 12)",1,1,-0.663755
front,"(2, 5, 11)",1,1,-0.666901
front,"(2, 5, 10)",1,1,-0.670047
front,"(2, 5, 9)",1,1,-0.673193
front,"(2, 5, 8)",1,1,-0.676339
front,"(2, 5, 7)",1,1,-0.679485
front,"(2, 5, 6)",1,1,-0.682631
front,"(2, 5, 4)",1,1,-0.685777
front,"(2, 5, 3)",1,1,-0.688923
front,"(2, 5, 2)",1,1,-0.692069
front,"(2, 4, 14)",1,1,-0.694952
front,"(2, 4, 13)",1,1,-0.698098
front,"(2, 4, 12)",1,1,-0.701244
front,"(2, 4, 11)",1,1,-0.704390
front,"(2, 4, 10)",1,1,-0.707536
front,"(2, 4, 9)",1,1,-0.710682
front,"(2, 4, 8)",1,1,-0.713828
front,"(2, 4, 7)",1,1,-0.716974
front,"(2, 4, 6)",1,1,-0.720120
front,"(2, 4, 5)",1,1,-0.723266
front,"(2, 4, 3)",1,1,-0.726412
front,"(2, 4, 2)",1,1,-0.729558
front,"(2, 3, 14)",1,1,-0.732441
front,"(2, 3, 13)",1,1,-0.735587
front,"(2, 3, 12)",1,1,-0.738733
front,"(2, 3, 11)",1,1,-0.741879
front,"(2, 3, 10)",1,1,-0.745025
front,"(2, 3, 9)",1,1,-0.748171
front,"(2, 3, 8)",1,1,-0.751317
front,"(2, 3, 7)",1,1,-0.754463
front,"(2, 3, 6)",1,1,-0.757609
front,"(2, 3, 5)",1,1,-0.760755
front,"(2, 3, 4)",1,1,-0.763900
front,"(2, 3, 2)",1,1,-0.767046
front,"(2, 2, 14)",1,1,-0.769930
front,"(2, 2, 13)",1,1,-0.773076
front,"(2, 2, 12)",1,1,-0.776222
front,"(2, 2, 11)",1,1,-0.779368
front,"(2, 2, 10)",1,1,-0.782514
front,"(2, 2, 9)",1,1,-0.785660
front,"(2, 2, 8)",1,1,-0.788806
front,"(2, 2, 7)",1,1,-0.791952
front,"(2, 2, 6)",1,1,-0.795098
front,"(2, 2, 5)",1,1,-0.798243
front,"(2, 2, 4)",1,1,-0.801389
front,"(2, 2, 3)",1,1,-0.804535
front,"(1, 14, 13)",1,1,-0.800000
front,"(1, 14, 12)",1,1,-0.800699
front,"(1, 14, 11)",1,1,-0.801399
front,"(1, 14, 10)",1,1,-0.802098
front,"(1, 14, 9)",1,1,-0.802797
front,"(1, 14, 8)",1,1,-0.803497
front,"(1, 14, 7)",1,1,-0.804196
front,"(1, 14, 6)",1,1,-0.804895
front,"(1, 14, 5)",1,1,-0.805594
front,"(1, 14, 4)",1,1,-0.806294
front,"(1, 14, 3)",1,1,-0.806993
front,"(1, 14, 2)",1,1,-0.807692
front,"(1, 13, 12)",1,1,-0.808333
front,"(1, 13, 11)",1,1,-0.809103
front,"(1, 13, 10)",1,1,-0.809872
front,"(1, 13, 9)",1,1,-0.810641
front,"(1, 13, 8)",1,1,-0.811410
